source,addr:TW:dataset,addr:country,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:place,addr:housenumber,addr:full,x,y
桃園市政府,157689,TW,桃園市,龍潭區,黃唐里,9,成功路377巷,黃泥塘,91號,桃園市龍潭區黃唐里9鄰成功路377巷黃泥塘91號,272946.640,2752393.500
桃園市政府,157689,TW,桃園市,龍潭區,黃唐里,9,成功路377巷,黃泥塘,85號,桃園市龍潭區黃唐里9鄰成功路377巷黃泥塘85號,272948.760,2752405.880
桃園市政府,157689,TW,桃園市,龍潭區,黃唐里,9,成功路377巷,黃泥塘,93號,桃園市龍潭區黃唐里9鄰成功路377巷黃泥塘93號,272946.310,2752389.230
桃園市政府,157689,TW,桃園市,龍潭區,黃唐里,9,成功路377巷,黃泥塘,87號,桃園市龍潭區黃唐里9鄰成功路377巷黃泥塘87號,272947.820,2752401.800
桃園市政府,157689,TW,桃園市,龍潭區,黃唐里,9,成功路377巷,黃泥塘,88號,桃園市龍潭區黃唐里9鄰成功路377巷黃泥塘88號,272921.270,2752408.670
桃園市政府,157689,TW,桃園市,龍潭區,黃唐里,9,成功路377巷,黃泥塘,99號,桃園市龍潭區黃唐里9鄰成功路377巷黃泥塘99號,272940.340,2752375.060
桃園市政府,157689,TW,桃園市,龍潭區,黃唐里,9,成功路377巷,黃泥塘,83號,桃園市龍潭區黃唐里9鄰成功路377巷黃泥塘83號,272949.380,2752410.440
桃園市政府,157689,TW,桃園市,龍潭區,黃唐里,9,成功路377巷,黃泥塘,81號,桃園市龍潭區黃唐里9鄰成功路377巷黃泥塘81號,272950.420,2752414.990
桃園市政府,157689,TW,桃園市,龍潭區,黃唐里,9,成功路377巷,黃泥塘,89號,桃園市龍潭區黃唐里9鄰成功路377巷黃泥塘89號,272946.740,2752398.350
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,72號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村72號,273603.540,2760963.880
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,10號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村10號,273638.150,2760934.470
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,11號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村11號,273642.500,2760930.010
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,13號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村13號,273653.910,2760930.390
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,14號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村14號,273659.230,2760924.150
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,16號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村16號,273638.040,2760945.880
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,17號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村17號,273627.830,2760945.120
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,18號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村18號,273627.940,2760950.550
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,19號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村19號,273628.700,2760955.880
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,20號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村20號,273628.050,2760962.290
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,21號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村21號,273611.200,2760896.760
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,22號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村22號,273610.550,2760901.220
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,25號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村25號,273611.310,2760915.670
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,26號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村26號,273610.990,2760920.780
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,70號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村70號,273614.820,2760983.290
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,12號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村12號,273648.370,2760933.600
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,24號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村24號,273611.640,2760911.000
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,53號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村53號,273579.360,2760911.430
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,54號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村54號,273579.910,2760916.100
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,55號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村55號,273579.910,2760921.650
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,56號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村56號,273580.340,2760926.320
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,57號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村57號,273580.780,2760930.670
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,58號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村58號,273581.100,2760935.770
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,59號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村59號,273581.000,2760940.450
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,5號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村5號,273627.830,2760914.370
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,60號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村60號,273581.210,2760945.660
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,61號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村61號,273581.210,2760950.330
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,63號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村63號,273584.150,2760967.290
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,65號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村65號,273593.270,2760971.200
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,66號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村66號,273597.080,2760975.000
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,68號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村68號,273605.880,2760978.700
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,69號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村69號,273610.480,2760981.000
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,6號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村6號,273626.960,2760918.880
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,71號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村71號,273614.730,2760968.840
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,7號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村7號,273626.840,2760924.070
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,8號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村8號,273626.960,2760928.800
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,1號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村1號,273627.940,2760895.460
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,3號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村3號,273626.740,2760905.350
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,15號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村15號,273643.690,2760947.290
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,23號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村23號,273610.660,2760906.220
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,35號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村35號,273613.810,2760963.920
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,50號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村50號,273581.100,2760897.740
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,64號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村64號,273587.620,2760970.550
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,9號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村9號,273627.070,2760934.110
桃園市政府,157689,TW,桃園市,中壢區,正義里,9,中山東路一段276巷,中興二村,39號,桃園市中壢區正義里9鄰中山東路一段276巷中興二村39號,273599.580,2760911.430
